text,label,category,text_length,word_count,exclamation_count,caps_ratio
MIRACLE CURE: Local grandmother discovers ancient remedy that cures cancer in 3 days! Doctors are furious!,1,Sensational/Clickbait,106,16,2,0.12264150943396226
URGENT: New law will take away your savings! Share this before it's too late!,1,Sensational/Clickbait,77,14,2,0.1038961038961039
UNBELIEVABLE: Man loses 50 pounds in one week using this weird trick! Nutritionists are speechless!,1,Sensational/Clickbait,99,15,2,0.1414141414141414
CONSPIRACY EXPOSED: Major food companies have been poisoning us for years! The truth revealed!,1,Sensational/Clickbait,94,14,2,0.20212765957446807
INCREDIBLE: Woman wins lottery 7 times using this secret method! Officials want to ban it!,1,Sensational/Clickbait,90,15,2,0.13333333333333333
DANGER: Your smartphone is slowly killing you! This device can save your life!,1,Sensational/Clickbait,78,13,2,0.10256410256410256
AMAZING: Scientists discover fountain of youth in remote jungle! Age reversal possible!,1,Sensational/Clickbait,87,12,2,0.10344827586206896
TERRIBLE NEWS: Economic collapse predicted for next month! Prepare yourself now!,1,Sensational/Clickbait,80,11,2,0.175
REVOLUTIONARY: New energy device powers entire house for free! Energy companies are panicking!,1,Sensational/Clickbait,94,13,2,0.1595744680851064
HORRIFYING: Deadly chemicals found in popular foods! Your family is at risk!,1,Sensational/Clickbait,76,12,2,0.15789473684210525
BREAKING: Celebrity reveals shocking secret about Hollywood elite! You won't believe this!,1,Sensational/Clickbait,90,12,2,0.12222222222222222
MIRACLE: Blind woman sees again after taking this natural supplement! Doctors can't explain it!,1,Sensational/Clickbait,95,14,2,0.09473684210526316
EXPOSED: Social media giants are controlling your thoughts! Here's how to break free!,1,Sensational/Clickbait,85,13,2,0.10588235294117647
INCREDIBLE: Time traveler from 2050 warns about upcoming disaster! Government tries to silence him!,1,Sensational/Clickbait,99,14,2,0.12121212121212122
SHOCKING: Popular restaurant chain uses fake meat made from insects! Customers demand answers!,1,Sensational/Clickbait,94,13,2,0.10638297872340426
URGENT WARNING: New virus more dangerous than COVID spreading rapidly! Mainstream media ignores it!,1,Sensational/Clickbait,99,14,2,0.20202020202020202
AMAZING DISCOVERY: Lost city of Atlantis found! Archaeologists confirm ancient technology!,1,Sensational/Clickbait,90,11,2,0.2111111111111111
Doctors discovered this one weird trick to cure diabetes naturally without medication or diet changes.,1,Health/Medical,102,15,0,0.00980392156862745
Big pharma doesn't want you to know about this miracle plant that cures all diseases instantly.,1,Health/Medical,95,16,0,0.010526315789473684
Shocking study reveals vaccines contain mind control chips implanted by secret organizations worldwide.,1,Health/Medical,103,13,0,0.009708737864077669
Local mom discovers coffee ingredient that melts belly fat overnight while you sleep peacefully.,1,Health/Medical,96,14,0,0.010416666666666666
Ancient Tibetan monks reveal secret breathing technique that adds 20 years to your lifespan.,1,Health/Medical,92,14,0,0.021739130434782608
You'll never guess what this celebrity looks like now! The transformation will shock you completely!,1,Entertainment/Viral,100,15,2,0.02
This simple quiz reveals your exact death date! Take it before it gets banned forever!,1,Entertainment/Viral,86,15,2,0.023255813953488372
Homeless man turns out to be secret millionaire! His story will make you cry tears!,1,Entertainment/Viral,83,15,2,0.024096385542168676
Teachers hate her! Student discovers study method that guarantees perfect grades without effort!,1,Entertainment/Viral,96,13,2,0.020833333333333332
This optical illusion reveals your true personality! Share with friends to compare results!,1,Entertainment/Viral,91,13,2,0.02197802197802198
